id,fecha,anulado,cancelado_activado,coordinado,comentario
41,20/03/25 20:10:50,1,0,1,Vehículo sobre autopista concesionada (RN9/RN12). Auxilio sin habilitación operativa. Anulado y recoord con proveedor autorizado.
42,15/12/25 13:38:04,0,0,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
43,17/07/25 12:38:29,1,0,1,Prestador devolvió servicio por avería mecánica propia en ruta. Anulado y recoord inmediato con unidad backup. Tiempo perdido: 56 min.
44,28/09/25 08:35:55,0,0,0,"Caso sin novedades, finalizado exitosamente."
45,06/01/25 21:46:07,0,0,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
46,16/12/25 17:48:17,0,0,0,"Caso sin novedades, finalizado exitosamente."
47,29/01/26 20:21:07,0,0,0,"Sin incidencias, asistencia completada a las 01:17."
48,31/05/25 13:10:29,1,0,0,"Prestador reportó finalización exitosa, socio conforme."
49,02/01/25 23:56:46,0,1,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
50,15/05/25 16:48:11,1,0,1,"Alta demanda operativa en zona, prestador no respondió en tiempo pactado. Caso anulado y recoord según protocolo #OP-7786."
51,17/09/25 03:55:40,0,1,0,"Sin incidencias, asistencia completada a las 16:47."
52,02/06/25 20:32:38,0,0,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
53,12/04/25 04:23:48,0,0,0,"Auxilio ejecutado sin problemas, registro OK en sistema."
54,24/03/25 17:49:59,1,0,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
55,29/09/25 00:38:20,0,1,0,"Sin incidencias, asistencia completada a las 06:27."
56,08/09/25 00:07:59,1,0,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
57,05/07/25 09:15:03,0,1,1,El auxilio devolvió el servicio por incompatibilidad de equipo (grúa insuficiente para vehículo pesado). Cancelado activado y recoord con prestador adecuado.
58,04/05/25 18:05:05,0,1,1,Error en datos CRM (patente/matricula equivocada). Cancelado activado y recoord con información corregida.
59,10/01/26 15:52:04,1,0,1,Vehículo sobre autopista concesionada (RN9/RN12). Auxilio sin habilitación operativa. Anulado y recoord con proveedor autorizado.
60,25/01/26 17:49:08,0,0,0,"Sin incidencias, asistencia completada a las 06:44."
61,07/03/25 21:30:35,0,1,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
62,26/03/25 08:33:55,1,0,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
63,07/11/25 13:13:59,0,0,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
64,04/10/25 23:44:12,0,0,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
65,01/01/26 09:25:42,0,0,0,"Prestador reportó finalización exitosa, socio conforme."
66,29/11/25 11:28:57,0,0,0,"Auxilio ejecutado sin problemas, registro OK en sistema."
67,22/09/25 14:07:15,1,0,1,Socio resolvió avería por su cuenta (cambio de rueda/arranque). Canceló vía app antes de llegada del auxilio. Caso anulado sin recoord.
68,26/04/25 02:21:01,0,1,0,"Sin incidencias, asistencia completada a las 22:08."
69,29/10/25 17:14:37,1,0,1,Socio resolvió avería por su cuenta (cambio de rueda/arranque). Canceló vía app antes de llegada del auxilio. Caso anulado sin recoord.
70,23/04/25 00:04:45,0,0,0,"Prestador reportó finalización exitosa, socio conforme."
71,20/11/25 01:14:04,0,0,0,"Caso sin novedades, finalizado exitosamente."
72,17/01/25 10:04:32,0,1,1,El auxilio devolvió el servicio por incompatibilidad de equipo (grúa insuficiente para vehículo pesado). Cancelado activado y recoord con prestador adecuado.
73,02/05/25 08:42:31,0,1,1,Error en datos CRM (patente/matricula equivocada). Cancelado activado y recoord con información corregida.
74,20/04/25 17:08:46,0,0,0,"Sin incidencias, asistencia completada a las 06:05."
75,20/10/25 18:30:15,1,0,0,"Auxilio ejecutado sin problemas, registro OK en sistema."
76,06/02/26 15:51:26,0,0,0,"Sin incidencias, asistencia completada a las 10:50."
77,08/04/25 03:06:42,0,0,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
78,09/08/25 11:27:26,1,0,1,Prestador devolvió servicio por avería mecánica propia en ruta. Anulado y recoord inmediato con unidad backup. Tiempo perdido: 118 min.
79,28/08/25 23:03:43,0,0,0,"Prestador reportó finalización exitosa, socio conforme."
80,01/12/25 20:06:03,1,0,1,"No pudimos comunicarnos con el asegurado pese a 3 intentos (9:25, 15:50). Anulado y recoord con nuevo contacto verificado en CRM. Supervisor informado."
81,26/07/25 23:21:51,0,0,0,"Caso sin novedades, finalizado exitosamente."
82,25/02/25 07:12:12,1,0,0,"Caso sin novedades, finalizado exitosamente."
83,02/10/25 14:08:27,0,0,0,"Prestador reportó finalización exitosa, socio conforme."
84,04/04/25 08:29:15,1,0,1,Prestador devolvió servicio por avería mecánica propia en ruta. Anulado y recoord inmediato con unidad backup. Tiempo perdido: 31 min.
85,08/02/25 14:51:55,1,0,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
86,09/10/25 03:03:41,0,0,0,"Sin incidencias, asistencia completada a las 13:44."
87,04/10/25 00:05:59,0,0,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
88,21/01/26 07:10:26,0,0,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
89,06/09/25 15:13:55,0,0,0,"Prestador reportó finalización exitosa, socio conforme."
90,25/07/25 01:10:24,0,0,0,"Caso sin novedades, finalizado exitosamente."
91,02/01/25 12:16:59,0,1,1,Error en datos CRM (patente/matricula equivocada). Cancelado activado y recoord con información corregida.
92,06/02/26 14:18:27,0,0,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
93,23/12/25 23:50:35,0,0,0,"Sin incidencias, asistencia completada a las 03:29."
94,05/12/25 22:31:09,0,0,0,"Auxilio ejecutado sin problemas, registro OK en sistema."
95,08/04/25 09:13:03,0,1,0,"Auxilio ejecutado sin problemas, registro OK en sistema."
96,24/10/25 23:34:03,0,0,0,"Auxilio ejecutado sin problemas, registro OK en sistema."
97,18/01/26 10:03:03,0,1,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
98,27/10/25 15:32:58,0,0,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
99,13/03/26 16:10:03,0,1,1,Cobertura celular nula en zona rural. Imposible confirmar ubicación. Cancelado y recoord vía datos alternativos.
100,18/09/25 02:54:11,0,1,1,Socio cambió destino sin avisar. Auxilio llegó al sitio original y devolvió. Cancelado y recoord al nuevo punto. Supervisor informado.
101,05/02/25 19:04:43,1,0,1,Prestador devolvió servicio por avería mecánica propia en ruta. Anulado y recoord inmediato con unidad backup. Tiempo perdido: 93 min.
102,01/05/25 12:07:56,1,0,0,"Prestador reportó finalización exitosa, socio conforme."
103,19/10/25 07:37:38,0,0,0,"Caso sin novedades, finalizado exitosamente."
104,21/01/25 19:05:26,0,0,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
105,03/12/25 18:36:33,0,0,0,"Auxilio ejecutado sin problemas, registro OK en sistema."
106,11/06/25 08:13:42,0,0,0,"Sin incidencias, asistencia completada a las 04:11."
107,02/01/26 10:15:16,0,1,0,"Caso sin novedades, finalizado exitosamente."
108,22/07/25 04:42:41,0,0,0,"Prestador reportó finalización exitosa, socio conforme."
109,03/06/25 14:20:59,0,0,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
110,20/01/26 02:00:29,0,1,1,Capacidades operativas excedidas (3 casos simultáneos). Socio canceló y activamos recoord urgente. Tiempo de espera reportado: 82 min.
111,15/11/25 18:06:04,0,0,0,"Auxilio ejecutado sin problemas, registro OK en sistema."
112,03/10/25 06:32:16,0,1,1,Demora elevada del prestador (+86 min por tráfico). Socio canceló activado y recoord con unidad más cercana. Cliente notificado vía SMS.
113,09/03/25 11:56:04,0,1,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
114,06/05/25 11:18:10,0,0,0,"Auxilio ejecutado sin problemas, registro OK en sistema."
115,13/08/25 17:45:19,0,0,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
116,10/11/25 20:33:00,0,0,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
117,08/12/25 17:19:59,0,1,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
118,06/12/25 03:56:08,0,1,1,El auxilio devolvió el servicio por incompatibilidad de equipo (grúa insuficiente para vehículo pesado). Cancelado activado y recoord con prestador adecuado.
119,16/05/25 03:56:06,0,0,0,"Caso sin novedades, finalizado exitosamente."
120,16/01/26 17:09:17,0,1,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
121,25/05/25 19:13:45,0,0,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
122,25/06/25 06:43:40,0,0,0,"Caso sin novedades, finalizado exitosamente."
123,13/03/26 08:32:31,0,0,0,"Auxilio ejecutado sin problemas, registro OK en sistema."
124,09/05/25 01:05:40,1,0,1,"No pudimos comunicarnos con el asegurado pese a 3 intentos (19:33, 15:15). Anulado y recoord con nuevo contacto verificado en CRM. Supervisor informado."
125,05/08/25 08:02:00,0,0,0,"Caso sin novedades, finalizado exitosamente."
126,20/06/25 04:40:16,1,0,0,"Caso sin novedades, finalizado exitosamente."
127,24/03/25 23:28:35,0,0,0,"Prestador reportó finalización exitosa, socio conforme."
128,28/12/25 13:35:00,0,0,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
129,27/02/25 02:56:44,0,1,1,Socio cambió destino sin avisar. Auxilio llegó al sitio original y devolvió. Cancelado y recoord al nuevo punto. Supervisor informado.
130,18/03/25 17:02:53,0,0,0,"Auxilio ejecutado sin problemas, registro OK en sistema."
131,09/07/25 18:35:09,0,1,0,"Prestador reportó finalización exitosa, socio conforme."
132,09/08/25 04:02:19,0,0,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
133,06/07/25 01:57:22,0,1,1,Cobertura celular nula en zona rural. Imposible confirmar ubicación. Cancelado y recoord vía datos alternativos.
134,18/04/25 21:15:42,0,0,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
135,22/02/25 11:49:35,0,0,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
136,28/07/25 19:47:09,0,1,0,"Prestador reportó finalización exitosa, socio conforme."
137,02/05/25 05:51:51,0,0,0,"Prestador reportó finalización exitosa, socio conforme."
138,01/04/25 13:01:11,0,0,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
139,13/01/26 10:50:59,1,0,0,"Sin incidencias, asistencia completada a las 14:35."
140,30/07/25 21:55:47,1,0,0,"Sin incidencias, asistencia completada a las 03:51."
141,20/02/26 07:17:10,1,0,0,"Auxilio ejecutado sin problemas, registro OK en sistema."
142,08/02/26 22:06:24,0,0,0,"Sin incidencias, asistencia completada a las 11:43."
143,20/01/25 15:14:12,0,0,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
144,23/02/26 14:22:19,0,0,0,"Auxilio ejecutado sin problemas, registro OK en sistema."
145,25/02/26 07:14:01,0,0,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
146,04/12/25 06:25:21,1,0,1,Vehículo sobre autopista concesionada (RN9/RN12). Auxilio sin habilitación operativa. Anulado y recoord con proveedor autorizado.
147,23/05/25 02:49:17,0,0,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
148,29/06/25 20:32:25,0,0,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
149,14/12/25 17:21:01,1,0,1,Socio resolvió avería por su cuenta (cambio de rueda/arranque). Canceló vía app antes de llegada del auxilio. Caso anulado sin recoord.
150,01/03/25 08:11:37,0,0,0,"Prestador reportó finalización exitosa, socio conforme."
151,16/05/25 01:06:38,0,0,0,"Caso sin novedades, finalizado exitosamente."
152,11/08/25 11:46:50,0,0,0,"Sin incidencias, asistencia completada a las 04:26."
153,10/06/25 13:38:32,1,0,1,Vehículo sobre autopista concesionada (RN9/RN12). Auxilio sin habilitación operativa. Anulado y recoord con proveedor autorizado.
154,01/03/25 12:57:36,0,0,0,"Sin incidencias, asistencia completada a las 11:58."
155,08/04/25 08:02:45,0,0,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
156,12/08/25 00:33:59,0,0,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
157,17/02/26 17:43:46,0,0,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
158,15/01/26 23:42:12,0,1,0,"Caso sin novedades, finalizado exitosamente."
159,06/07/25 13:04:42,0,0,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
160,19/06/25 19:20:42,0,0,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
161,11/03/26 03:46:57,1,0,0,"Sin incidencias, asistencia completada a las 11:59."
162,03/06/25 16:19:42,0,1,0,"Prestador reportó finalización exitosa, socio conforme."
163,29/07/25 10:25:44,0,0,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
164,01/06/25 17:08:12,1,0,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
165,04/08/25 21:24:43,0,1,1,Capacidades operativas excedidas (3 casos simultáneos). Socio canceló y activamos recoord urgente. Tiempo de espera reportado: 59 min.
166,19/01/26 05:39:36,0,0,0,"Prestador reportó finalización exitosa, socio conforme."
167,04/06/25 12:35:53,0,0,0,"Prestador reportó finalización exitosa, socio conforme."
168,01/01/25 09:18:13,1,0,1,"Número de teléfono erróneo en ficha (era de familiar). Verificado en CRM y anulado, procedo a recoord."
169,09/08/25 18:38:41,0,1,1,Cobertura celular nula en zona rural. Imposible confirmar ubicación. Cancelado y recoord vía datos alternativos.
170,14/06/25 14:28:28,0,0,0,"Caso sin novedades, finalizado exitosamente."
171,12/12/25 06:32:30,0,0,0,"Auxilio ejecutado sin problemas, registro OK en sistema."
172,11/02/26 23:10:42,1,0,1,"No pudimos comunicarnos con el asegurado pese a 4 intentos (17:16, 13:29). Anulado y recoord con nuevo contacto verificado en CRM. Supervisor informado."
173,13/02/25 09:32:42,0,0,0,"Prestador reportó finalización exitosa, socio conforme."
174,21/11/25 19:21:05,0,1,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
175,24/02/26 07:43:19,0,1,0,"Caso sin novedades, finalizado exitosamente."
176,26/04/25 06:09:01,0,1,1,Cobertura celular nula en zona rural. Imposible confirmar ubicación. Cancelado y recoord vía datos alternativos.
177,24/01/25 07:30:39,0,0,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
178,12/03/26 02:29:26,0,0,0,"Auxilio ejecutado sin problemas, registro OK en sistema."
179,19/11/25 18:12:45,0,0,0,"Caso sin novedades, finalizado exitosamente."
180,23/12/25 12:31:25,0,1,1,Cobertura celular nula en zona rural. Imposible confirmar ubicación. Cancelado y recoord vía datos alternativos.
181,05/05/25 04:41:44,1,0,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
182,03/01/25 03:49:27,1,0,1,Error en ubicación de origen (GPS desfasado 3km). Auxilio llegó a punto equivocado y devolvió. Anulado y recoord con geo corregida.
183,23/04/25 05:51:44,0,0,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
184,23/09/25 14:03:35,0,0,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
185,08/05/25 03:29:08,0,0,0,"Auxilio ejecutado sin problemas, registro OK en sistema."
186,15/02/26 14:42:33,0,0,0,"Sin incidencias, asistencia completada a las 05:56."
187,14/10/25 19:20:48,0,0,0,"Sin incidencias, asistencia completada a las 11:34."
188,15/08/25 19:52:46,0,0,0,"Sin incidencias, asistencia completada a las 18:41."
189,16/09/25 13:53:58,1,0,0,"Sin incidencias, asistencia completada a las 02:51."
190,08/10/25 14:57:10,1,0,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
191,16/01/26 15:28:16,1,0,1,Socio resolvió avería por su cuenta (cambio de rueda/arranque). Canceló vía app antes de llegada del auxilio. Caso anulado sin recoord.
192,20/01/26 07:53:40,0,1,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
193,22/05/25 16:31:40,1,0,0,"Sin incidencias, asistencia completada a las 05:03."
194,03/05/25 08:28:04,0,0,0,"Prestador reportó finalización exitosa, socio conforme."
195,01/01/26 09:15:17,0,0,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
196,21/06/25 10:57:34,0,0,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
197,11/02/25 04:09:14,0,0,0,"Sin incidencias, asistencia completada a las 18:35."
198,16/07/25 22:09:45,1,0,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
199,20/04/25 02:26:26,0,0,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
200,19/06/25 17:29:26,0,0,0,"Auxilio ejecutado sin problemas, registro OK en sistema."
201,01/02/25 06:53:26,0,0,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
202,19/07/25 18:44:01,0,1,1,Socio cambió destino sin avisar. Auxilio llegó al sitio original y devolvió. Cancelado y recoord al nuevo punto. Supervisor informado.
203,27/01/26 18:24:30,1,0,1,"Alta demanda operativa en zona, prestador no respondió en tiempo pactado. Caso anulado y recoord según protocolo #OP-9914."
204,04/01/25 11:19:48,0,0,0,"Sin incidencias, asistencia completada a las 01:16."
205,19/07/25 13:34:47,0,0,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
206,12/01/26 17:51:38,1,0,1,"No pudimos comunicarnos con el asegurado pese a 3 intentos (9:32, 20:44). Anulado y recoord con nuevo contacto verificado en CRM. Supervisor informado."
207,23/04/25 15:14:17,1,0,1,Vehículo sobre autopista concesionada (RN9/RN12). Auxilio sin habilitación operativa. Anulado y recoord con proveedor autorizado.
208,12/08/25 15:01:24,0,0,0,"Caso sin novedades, finalizado exitosamente."
209,22/06/25 21:43:51,0,1,1,Capacidades operativas excedidas (3 casos simultáneos). Socio canceló y activamos recoord urgente. Tiempo de espera reportado: 65 min.
210,27/07/25 23:10:53,1,0,1,"Número de teléfono erróneo en ficha (era de familiar). Verificado en CRM y anulado, procedo a recoord."
211,28/08/25 04:39:34,0,0,0,"Sin incidencias, asistencia completada a las 05:10."
212,14/01/25 12:37:36,0,1,0,"Prestador reportó finalización exitosa, socio conforme."
213,06/12/25 00:05:41,0,0,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
214,08/08/25 04:55:29,0,1,0,"Caso sin novedades, finalizado exitosamente."
215,04/04/25 01:16:24,0,1,0,"Auxilio ejecutado sin problemas, registro OK en sistema."
216,17/06/25 06:29:20,0,0,0,"Caso sin novedades, finalizado exitosamente."
217,22/06/25 12:17:48,0,0,0,"Sin incidencias, asistencia completada a las 00:50."
218,02/03/26 13:16:53,0,1,0,"Sin incidencias, asistencia completada a las 03:26."
219,11/02/25 15:01:47,0,0,0,"Caso sin novedades, finalizado exitosamente."
220,04/10/25 01:22:14,0,1,0,"Auxilio ejecutado sin problemas, registro OK en sistema."
221,29/11/25 02:49:41,0,0,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
222,21/01/25 00:15:12,0,0,0,"Sin incidencias, asistencia completada a las 08:24."
223,06/03/26 00:39:09,0,1,1,Capacidades operativas excedidas (3 casos simultáneos). Socio canceló y activamos recoord urgente. Tiempo de espera reportado: 95 min.
224,03/05/25 04:30:42,0,0,0,"Sin incidencias, asistencia completada a las 04:39."
225,28/02/25 18:13:29,0,0,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
226,25/12/25 08:49:23,0,0,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
227,27/03/25 19:38:47,0,0,0,"Sin incidencias, asistencia completada a las 08:57."
228,03/01/26 03:49:52,0,0,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
229,25/03/25 09:06:37,0,0,0,"Sin incidencias, asistencia completada a las 22:43."
230,14/01/25 09:36:43,0,0,0,"Prestador reportó finalización exitosa, socio conforme."
231,12/07/25 12:45:12,1,0,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
232,08/02/25 18:44:53,0,0,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
233,18/11/25 07:06:44,0,0,0,"Sin incidencias, asistencia completada a las 23:31."
234,31/01/26 09:54:43,0,1,0,"Auxilio ejecutado sin problemas, registro OK en sistema."
235,04/11/25 03:50:36,1,0,1,Error en ubicación de origen (GPS desfasado 3km). Auxilio llegó a punto equivocado y devolvió. Anulado y recoord con geo corregida.
236,05/02/26 01:22:34,0,0,0,"Prestador reportó finalización exitosa, socio conforme."
237,08/08/25 21:23:04,0,0,0,"Auxilio ejecutado sin problemas, registro OK en sistema."
238,17/09/25 20:21:00,1,0,1,Error en ubicación de origen (GPS desfasado 3km). Auxilio llegó a punto equivocado y devolvió. Anulado y recoord con geo corregida.
239,11/03/26 13:52:31,0,0,0,"Sin incidencias, asistencia completada a las 19:28."
240,24/02/25 13:23:40,1,0,1,Vehículo sobre autopista concesionada (RN9/RN12). Auxilio sin habilitación operativa. Anulado y recoord con proveedor autorizado.
241,01/03/26 14:45:09,0,1,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
242,11/08/25 05:46:33,0,0,0,"Caso sin novedades, finalizado exitosamente."
243,30/11/25 08:39:51,0,0,0,"Prestador reportó finalización exitosa, socio conforme."
244,03/10/25 15:29:27,0,0,0,"Sin incidencias, asistencia completada a las 16:01."
245,27/02/26 23:37:17,0,1,1,Cobertura celular nula en zona rural. Imposible confirmar ubicación. Cancelado y recoord vía datos alternativos.
246,15/06/25 07:53:59,0,1,0,"Caso sin novedades, finalizado exitosamente."
247,14/02/25 08:56:28,0,0,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
248,05/05/25 14:36:39,0,0,0,"Sin incidencias, asistencia completada a las 12:54."
249,09/12/25 12:21:01,0,0,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
250,11/09/25 10:11:31,0,0,0,"Caso sin novedades, finalizado exitosamente."
251,19/04/25 11:51:16,0,0,0,"Auxilio ejecutado sin problemas, registro OK en sistema."
252,24/06/25 08:56:38,0,1,0,"Caso sin novedades, finalizado exitosamente."
253,26/12/25 08:35:00,0,0,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
254,22/09/25 06:05:15,0,0,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
255,04/01/26 13:31:35,1,0,1,Error en ubicación de origen (GPS desfasado 3km). Auxilio llegó a punto equivocado y devolvió. Anulado y recoord con geo corregida.
256,24/01/26 07:44:30,0,1,0,"Caso sin novedades, finalizado exitosamente."
257,27/11/25 22:31:28,0,0,0,"Prestador reportó finalización exitosa, socio conforme."
258,10/02/26 00:05:18,0,0,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
259,24/04/25 12:44:15,0,0,0,"Sin incidencias, asistencia completada a las 23:02."
260,06/06/25 21:37:23,0,1,1,Capacidades operativas excedidas (3 casos simultáneos). Socio canceló y activamos recoord urgente. Tiempo de espera reportado: 59 min.
261,31/08/25 17:33:22,1,0,0,"Caso sin novedades, finalizado exitosamente."
262,06/08/25 23:35:21,0,0,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
263,30/06/25 22:29:17,1,0,1,Socio resolvió avería por su cuenta (cambio de rueda/arranque). Canceló vía app antes de llegada del auxilio. Caso anulado sin recoord.
264,06/06/25 08:14:07,0,1,0,"Prestador reportó finalización exitosa, socio conforme."
265,05/01/26 06:20:07,0,0,0,"Auxilio ejecutado sin problemas, registro OK en sistema."
